Card#,Artist,Title,URL,Hashed Info,Youtube-Title,Year
262,Ophélie Winter,Dieu m'a donné la foi,,,,1995
263,Las Ketchup,The Ketchup Song (Aserejé),,,,2002
264,Eric Prydz,Call On Me,,,,2004
265,Jean-Pierre Mader,Macumba,,,,1985
266,Christophe Maé,On s'attache,,,,2007
267,O-Zone,Dragostea Din Tei,,,,2003
268,Dadju,Compliqué,,,,2019
269,James Brown et The Famous Flames,I Got You (I Feel Good),,,,1965
270,Claude Nougaro,Toulouse,,,,1967
271,Grégoire,Toi + Moi,,,,2008
272,Jean-Jacques Goldman,AU bout de mes rêves,,,,1983
273,Véronique Sanson,Besoin de personne,,,,1972
274,Joe Dassin,Les Champs-Elysées,,,,1969
275,Daniel Balavoine,Je ne suis pas un héros,,,,1980
276,Christophe,Les mots bleus,,,,1974
277,Diam's,La boulette (Génération nan nan),,,,2006
278,Yves Montand,"Moi, je m'en fous",,,,1952
279,Bob Marley & The Wailers,No Woman No Cry ,,,,1974
280,Lynyrd Skynyrd,Sweet Home Alabama,,,,1974
281,Michel Polnareff,On ira tous au paradis,,,,1972
282,Ed Sheeran,Bad Habits,,,,2021
283,Booba,Petite Fille,,,,2017
284,Les Poppys,"Non, non, rien n'a changé",,,,1971
285,Gims,Bella,,,,2013
286,Amii Stewart,Knock On Wood,,,,1979
287,Coeur de Pirate,Comme des enfants,,,,2009
288,Francis Cabrel,Je l'aime à mourir,,,,1979
289,Dalida,Laissez-moi danser,,,,1979
290,Tones And I,Dance Monkey,,,,2019
291,Aya Nakamura,Djadja,,,,2018
292,Lady Gaga et Bradley Cooper,Shallow,,,,2018
293,Train,"Hey, Soul Sister",,,,2009
294,Tal,Le sens de la vie,,,,2012
295,Salvatore Adamo,Tombe la neige,,,,1963
296,Zazie,Je suis un homme,,,,2007
297,The Kinks,Lola,,,,1970
298,Plastic Bertrand,Ça plane pour moi,,,,1977
299,-M- (Matthieu Chedid),Qui de nous deux,,,,2003
300,Jean-Jacques Goldman,Quand la musique est bonne,,,,1982
301,Angèle,Balance ton quoi,,,,2018
302,Nancy Sinatra,These Boots Are Made For Walkin',,,,1965
303,Jacques Brel,Ne me quitte pas,,,,1959
304,Nino Ferrer,Le sud,,,,1975
305,Elton John,Your Song,,,,1970
306,ABBA,Waterloo,,,,1974
307,The Everly Brothers,All I Have To Do Is Dream,,,,1958
308,Mika,Elle me dit,,,,2011
